"外匯匯率-美元兌新台幣遠期匯率-月 依 期間, 期限, 匯率 與 種類",,,,,,,,,,,,,,,,,,,,,,,,
2006M05,31.924,-2.02,32.044,-2,31.856,-1.94,31.98,-1.91,31.756,-1.79,31.882,-1.78,31.646,-1.64,31.77,-1.62,31.556,-1.57,31.685,-1.56,31.356,-1.36,31.48,-1.33
2006M06,32.255,-2.23,32.39,-2.27,32.178,-2.13,32.318,-2.16,32.075,-2.01,32.215,-2.05,31.97,-1.88,32.11,-1.92,31.855,-1.73,31.995,-1.77,31.645,-1.51,31.79,-1.57
2006M07,32.655,-2.5,32.774,-2.25,32.572,-2.39,32.697,-2.14,32.477,-2.31,32.601,-2.07,32.366,-2.19,32.492,-1.95,32.257,-2.1,32.384,-1.86,32.058,-2,32.183,-1.74
2006M08,32.811,-0.44,32.929,-0.44,32.741,-0.38,32.865,-0.37,32.632,-0.26,32.757,-0.26,32.532,-0.18,32.658,-0.18,32.427,-0.11,32.551,-0.09,32.236,0.03,32.361,0.03
2006M09,33.006,0.29,33.121,0.3,32.934,0.36,33.055,0.36,32.832,0.43,32.953,0.44,32.73,0.5,32.853,0.5,32.624,0.57,32.745,0.57,32.44,0.67,32.561,0.67
2006M10,33.167,0.9,33.286,0.89,33.092,0.96,33.218,0.95,32.995,0.99,33.121,0.98,32.892,1.02,33.017,1.01,32.802,1.09,32.93,1.07,32.607,1.14,32.732,1.14
2006M11,32.324,3.4,32.455,3.36,32.252,3.44,32.39,3.4,32.15,3.5,32.287,3.45,32.059,3.54,32.197,3.5,31.964,3.56,32.102,3.52,31.777,3.62,31.915,3.57
2006M12,32.492,0.68,32.616,0.8,32.417,0.71,32.548,0.83,32.327,0.76,32.458,0.88,32.233,0.77,32.363,0.89,32.143,0.78,32.275,0.9,31.95,0.79,32.081,0.91
2007M01,32.834,-2.87,32.987,-2.95,32.771,-2.85,32.934,-2.94,32.669,-2.82,32.831,-2.91,32.569,-2.82,32.736,-2.92,32.465,-2.76,32.624,-2.84,32.274,-2.76,32.437,-2.85
2007M02,32.843,-1.43,32.988,-1.51,32.768,-1.41,32.928,-1.5,32.671,-1.38,32.83,-1.48,32.564,-1.35,32.723,-1.45,32.485,-1.41,32.632,-1.47,32.275,-1.4,32.429,-1.48
2007M03,32.986,-1.87,33.135,-1.95,32.916,-1.86,33.079,-1.96,32.812,-1.86,32.975,-1.96,32.719,-1.86,32.882,-1.97,32.622,-1.86,32.785,-1.97,32.435,-1.9,32.598,-2.01
2007M04,33.174,-4.09,33.358,-4.26,33.098,-4.09,33.298,-4.29,33.006,-4.09,33.205,-4.29,32.907,-4.09,33.107,-4.29,32.808,-4.12,33.007,-4.32,32.615,-4.11,32.815,-4.3
2007M05,32.924,-3.04,33.093,-3.17,32.871,-3.09,33.047,-3.23,32.773,-3.1,32.96,-3.27,32.694,-3.21,32.88,-3.38,32.618,-3.26,32.81,-3.43,32.434,-3.32,32.64,-3.55
2007M06,32.634,-1.16,32.785,-1.2,32.565,-1.19,32.73,-1.26,32.468,-1.21,32.634,-1.28,32.385,-1.28,32.55,-1.35,32.292,-1.35,32.46,-1.43,32.134,-1.52,32.3,-1.58
2007M07,32.704,-0.15,32.852,-0.24,32.627,-0.17,32.791,-0.29,32.543,-0.2,32.705,-0.32,32.453,-0.27,32.615,-0.38,32.365,-0.33,32.528,-0.44,32.203,-0.45,32.367,-0.57
2007M08,32.891,-0.24,33.038,-0.33,32.817,-0.23,32.979,-0.35,32.707,-0.23,32.869,-0.34,32.613,-0.25,32.774,-0.35,32.514,-0.27,32.674,-0.38,32.346,-0.34,32.507,-0.45
2007M09,32.482,1.61,32.632,1.5,32.415,1.6,32.58,1.46,32.325,1.57,32.49,1.43,32.235,1.54,32.401,1.4,32.147,1.48,32.313,1.34,32,1.38,32.165,1.23
2007M10,32.295,2.7,32.456,2.56,32.237,2.65,32.411,2.49,32.156,2.61,32.331,2.44,32.078,2.54,32.254,2.37,32.01,2.47,32.185,2.31,31.875,2.3,32.05,2.13
2007M11,32.156,0.52,32.308,0.45,32.075,0.55,32.242,0.46,31.98,0.53,32.145,0.44,31.892,0.52,32.06,0.43,31.806,0.5,31.973,0.4,31.655,0.39,31.843,0.23
2007M12,32.33,0.5,32.487,0.4,32.268,0.46,32.438,0.34,32.191,0.42,32.363,0.29,32.114,0.37,32.286,0.24,32.03,0.35,32.213,0.19,31.886,0.2,32.088,-0.02
2008M01,32.07,2.38,32.255,2.27,32.039,2.28,32.238,2.16,31.998,2.1,32.198,1.97,31.969,1.88,32.168,1.77,31.934,1.66,32.143,1.5,31.873,1.26,32.073,1.13
2008M02,30.841,6.49,31.011,6.38,30.809,6.36,30.997,6.23,30.783,6.13,30.968,6.01,30.755,5.88,30.94,5.76,30.723,5.74,30.908,5.58,30.66,5.27,30.845,5.14
2008M03,30.291,8.9,30.466,8.76,30.265,8.76,30.455,8.62,30.24,8.51,30.43,8.36,30.214,8.29,30.405,8.15,30.19,8.06,30.38,7.92,30.145,7.6,30.335,7.46
2008M04,30.368,9.24,30.514,9.32,30.343,9.08,30.502,9.17,30.311,8.89,30.472,8.97,30.282,8.67,30.443,8.75,30.255,8.44,30.415,8.52,30.19,8.03,30.35,8.12
2008M05,30.318,8.6,30.479,8.58,30.298,8.49,30.474,8.44,30.277,8.24,30.454,8.23,30.254,8.07,30.431,8.05,30.231,7.9,30.408,7.9,30.169,7.51,30.347,7.56
2008M06,30.272,7.8,30.414,7.8,30.239,7.69,30.396,7.68,30.21,7.47,30.371,7.45,30.181,7.3,30.338,7.29,30.147,7.12,30.304,7.11,30.059,6.9,30.232,6.84
2008M07,30.514,7.18,30.696,7.02,30.487,7.02,30.684,6.87,30.449,6.88,30.646,6.72,30.415,6.7,30.612,6.54,30.374,6.55,30.572,6.4,30.26,6.42,30.467,6.24
2008M08,31.446,4.6,31.621,4.48,31.422,4.44,31.613,4.32,31.386,4.21,31.577,4.09,31.349,4.03,31.54,3.91,31.295,3.9,31.486,3.77,31.188,3.71,31.38,3.59
2008M09,32.008,1.48,32.254,1.17,31.884,1.67,32.173,1.27,31.715,1.92,32.053,1.36,31.565,2.12,31.943,1.43,31.415,2.33,31.793,1.64,31.115,2.84,31.733,1.36
2008M10,32.884,-1.79,33.07,-1.86,32.824,-1.79,33.06,-1.96,32.749,-1.81,33.005,-2.04,32.695,-1.89,32.935,-2.07,32.62,-1.87,32.85,-2.02,32.469,-1.83,32.75,-2.14
2008M11,33.202,-3.15,33.361,-3.16,33.128,-3.18,33.349,-3.32,33.064,-3.28,33.289,-3.44,32.979,-3.3,33.194,-3.42,32.883,-3.28,33.119,-3.46,32.699,-3.19,32.979,-3.44
2008M12,32.703,-1.14,32.929,-1.34,32.686,-1.28,32.925,-1.48,32.626,-1.33,32.915,-1.68,32.586,-1.45,32.87,-1.78,32.521,-1.51,32.82,-1.85,32.401,-1.59,32.74,-1.99
2009M01,33.497,-4.26,33.87,-4.77,33.484,-4.32,33.866,-4.81,33.449,-4.34,33.861,-4.91,33.399,-4.28,33.831,-4.92,33.353,-4.25,33.796,-4.89,33.233,-4.09,33.706,-4.84
2009M02,34.844,-11.49,35.019,-11.45,34.828,-11.54,35.018,-11.48,34.786,-11.51,34.998,-11.51,34.731,-11.45,34.963,-11.51,34.665,-11.37,34.905,-11.45,34.52,-11.18,34.794,-11.35
2009M03,33.829,-10.46,33.985,-10.35,33.806,-10.47,33.976,-10.36,33.764,-10.44,33.955,-10.38,33.707,-10.36,33.92,-10.36,33.645,-10.27,33.864,-10.29,33.52,-10.07,33.773,-10.18
2009M04,32.989,-7.95,33.302,-8.37,32.971,-7.97,33.3,-8.4,32.934,-7.96,33.283,-8.45,32.887,-7.92,33.257,-8.46,32.836,-7.86,33.208,-8.41,32.716,-7.72,33.128,-8.39
2009M05,32.549,-6.85,32.719,-6.85,32.538,-6.88,32.715,-6.85,32.503,-6.85,32.71,-6.9,32.462,-6.8,32.69,-6.91,32.419,-6.75,32.655,-6.88,32.313,-6.64,32.58,-6.85
2009M06,32.731,-7.51,32.888,-7.52,32.72,-7.58,32.883,-7.56,32.7,-7.61,32.875,-7.62,32.654,-7.57,32.87,-7.7,32.619,-7.58,32.84,-7.72,32.513,-7.55,32.767,-7.74
2009M07,32.728,-6.76,32.887,-6.66,32.717,-6.82,32.884,-6.69,32.701,-6.89,32.878,-6.79,32.67,-6.9,32.87,-6.87,32.639,-6.94,32.858,-6.96,32.558,-7.06,32.814,-7.15
2009M08,32.841,-4.25,32.993,-4.16,32.833,-4.3,32.992,-4.18,32.816,-4.36,32.988,-4.28,32.803,-4.43,32.983,-4.37,32.764,-4.48,32.974,-4.51,32.691,-4.6,32.94,-4.74
2009M09,32.058,-0.16,32.27,-0.05,32.051,-0.52,32.269,-0.3,32.038,-1.01,32.267,-0.66,32.023,-1.43,32.262,-0.99,31.996,-1.82,32.258,-1.44,31.934,-2.56,32.246,-1.59
2009M10,32.44,1.37,32.605,1.43,32.433,1.21,32.603,1.4,32.419,1.02,32.6,1.24,32.404,0.9,32.596,1.04,32.383,0.73,32.588,0.8,32.306,0.5,32.567,0.56
2009M11,32.097,3.44,32.239,3.48,32.088,3.24,32.239,3.44,32.081,3.06,32.233,3.28,32.067,2.84,32.23,2.99,32.049,2.6,32.225,2.77,31.997,2.19,32.211,2.38
2009M12,31.89,2.55,32.085,2.63,31.88,2.53,32.083,2.62,31.874,2.36,32.078,2.61,31.862,2.27,32.074,2.48,31.84,2.14,32.064,2.36,31.79,1.92,32.047,2.16
2010M01,31.921,4.94,32.045,5.7,31.913,4.92,32.045,5.68,31.907,4.83,32.039,5.69,31.896,4.71,32.037,5.6,31.879,4.62,32.032,5.51,31.837,4.38,32.019,5.27
2010M02,32.008,8.86,32.14,8.96,32.001,8.83,32.139,8.96,31.992,8.73,32.132,8.92,31.98,8.6,32.13,8.82,31.962,8.46,32.123,8.66,31.915,8.16,32.106,8.37
2010M03,31.75,6.55,31.874,6.62,31.743,6.5,31.874,6.59,31.737,6.39,31.869,6.55,31.731,6.23,31.862,6.46,31.715,6.09,31.859,6.29,31.68,5.81,31.844,6.06
2010M04,31.348,5.23,31.483,5.78,31.34,5.2,31.481,5.78,31.332,5.11,31.474,5.75,31.324,4.99,31.466,5.69,31.307,4.88,31.46,5.56,31.273,4.61,31.448,5.34
2010M05,32.149,1.24,32.286,1.34,32.134,1.26,32.278,1.35,32.1,1.26,32.26,1.39,32.074,1.21,32.235,1.41,31.994,1.33,32.205,1.4,31.92,1.23,32.11,1.46
2010M06,32.208,1.62,32.331,1.72,32.196,1.63,32.326,1.72,32.173,1.64,32.314,1.74,32.15,1.57,32.292,1.79,32.11,1.59,32.278,1.74,32.027,1.52,32.208,1.74
2010M07,31.979,2.34,32.113,2.41,31.967,2.35,32.109,2.41,31.947,2.36,32.101,2.42,31.934,2.3,32.086,2.44,31.906,2.3,32.083,2.42,31.847,2.23,32.041,2.41
2010M08,32.029,2.54,32.164,2.58,32.013,2.56,32.154,2.61,31.99,2.58,32.142,2.63,31.972,2.6,32.124,2.67,31.935,2.6,32.112,2.68,31.871,2.57,32.067,2.72
2010M09,31.258,2.56,31.394,2.79,31.247,2.57,31.389,2.8,31.227,2.6,31.38,2.83,31.21,2.6,31.362,2.87,31.177,2.63,31.353,2.89,31.123,2.61,31.316,2.97
2010M10,30.71,5.63,30.845,5.71,30.697,5.66,30.839,5.72,30.675,5.69,30.829,5.74,30.648,5.73,30.812,5.79,30.627,5.73,30.804,5.79,30.574,5.66,30.767,5.85
2010M11,30.777,4.29,30.912,4.29,30.761,4.31,30.902,4.33,30.72,4.43,30.876,4.39,30.698,4.46,30.864,4.43,30.649,4.57,30.84,4.49,30.573,4.66,30.77,4.68
2010M12,30.293,5.27,30.428,5.45,30.274,5.3,30.416,5.48,30.25,5.37,30.406,5.5,30.223,5.42,30.386,5.56,30.193,5.45,30.373,5.57,30.122,5.54,30.328,5.67
2011M01,28.968,10.19,29.103,10.11,28.953,10.22,29.095,10.14,28.928,10.3,29.081,10.17,28.902,10.36,29.064,10.23,28.87,10.42,29.044,10.29,28.8,10.55,28.997,10.42
2011M02,29.677,7.85,29.812,7.81,29.659,7.9,29.802,7.84,29.634,7.96,29.788,7.87,29.609,8.01,29.772,7.92,29.572,8.08,29.752,7.97,29.505,8.17,29.698,8.11
2011M03,29.327,8.26,29.462,8.19,29.312,8.29,29.453,8.22,29.284,8.38,29.437,8.26,29.259,8.45,29.422,8.29,29.226,8.52,29.4,8.36,29.154,8.66,29.347,8.51
2011M04,28.54,-8.96,28.676,-8.92,28.533,-8.96,28.675,-8.91,28.514,-8.99,28.668,-8.92,28.492,-9.04,28.655,-8.93,28.457,-9.1,28.64,-8.96,28.4,-9.19,28.592,-9.08
2011M05,28.591,-11.07,28.725,-11.03,28.586,-11.04,28.723,-11.01,28.569,-11,28.718,-10.98,28.546,-11,28.708,-10.94,28.52,-10.86,28.696,-10.9,28.452,-10.86,28.645,-10.79
2011M06,28.639,-11.08,28.773,-11,28.632,-11.07,28.77,-11,28.616,-11.06,28.764,-10.99,28.596,-11.05,28.76,-10.94,28.566,-11.04,28.74,-10.96,28.501,-11.01,28.692,-10.92
2011M07,28.754,-10.08,28.886,-10.05,28.749,-10.07,28.884,-10.04,28.734,-10.06,28.88,-10.03,28.711,-10.09,28.872,-10.02,28.685,-10.1,28.857,-10.06,28.617,-10.14,28.807,-10.09
2011M08,28.942,-9.64,29.074,-9.61,28.93,-9.63,29.067,-9.6,28.91,-9.63,29.055,-9.6,28.882,-9.66,29.041,-9.6,28.848,-9.67,29.019,-9.63,28.781,-9.7,28.973,-9.65
2011M09,30.399,-2.75,30.534,-2.74,30.383,-2.77,30.522,-2.76,30.35,-2.81,30.5,-2.8,30.308,-2.89,30.472,-2.84,30.267,-2.92,30.442,-2.91,30.184,-3.02,30.377,-3
2011M10,29.839,-2.84,29.975,-2.82,29.825,-2.84,29.965,-2.83,29.792,-2.88,29.947,-2.86,29.759,-2.9,29.922,-2.89,29.722,-2.95,29.906,-2.92,29.646,-3.04,29.85,-2.98
2011M11,30.247,-1.72,30.378,-1.73,30.226,-1.74,30.365,-1.74,30.198,-1.7,30.348,-1.71,30.166,-1.73,30.327,-1.74,30.127,-1.7,30.302,-1.74,30.052,-1.7,30.242,-1.72
2011M12,30.205,-0.29,30.327,-0.33,30.191,-0.27,30.322,-0.31,30.167,-0.27,30.307,-0.33,30.141,-0.27,30.291,-0.31,30.104,-0.29,30.272,-0.33,30.046,-0.25,30.226,-0.34
2012M01,29.527,1.93,29.653,1.89,29.515,1.94,29.649,1.9,29.49,1.94,29.635,1.91,29.465,1.95,29.62,1.91,29.439,1.97,29.605,1.93,29.38,2.01,29.565,1.96
2012M02,29.308,-1.24,29.439,-1.25,29.299,-1.21,29.438,-1.22,29.282,-1.19,29.432,-1.2,29.258,-1.19,29.418,-1.19,29.235,-1.14,29.405,-1.17,29.178,-1.11,29.369,-1.11
2012M03,29.434,0.36,29.566,0.35,29.427,0.39,29.567,0.39,29.415,0.45,29.565,0.43,29.396,0.47,29.557,0.46,29.377,0.52,29.547,0.5,29.322,0.58,29.515,0.57
2012M04,29.074,1.87,29.206,1.85,29.067,1.87,29.207,1.86,29.062,1.92,29.202,1.86,29.046,1.94,29.195,1.88,29.026,2,29.188,1.91,28.975,2.02,29.166,2.01
2012M05,29.772,4.13,29.904,4.1,29.763,4.12,29.902,4.1,29.744,4.11,29.883,4.06,29.717,4.1,29.867,4.04,29.681,4.07,29.847,4.01,29.604,4.05,29.795,4.01
2012M06,29.803,4.06,29.935,4.04,29.795,4.06,29.935,4.05,29.783,4.08,29.924,4.03,29.768,4.1,29.918,4.03,29.748,4.14,29.91,4.07,29.695,4.19,29.887,4.16
2012M07,29.908,4.01,30.04,4,29.901,4.01,30.041,4.01,29.892,4.03,30.033,3.99,29.878,4.06,30.028,4,29.858,4.09,30.02,4.03,29.81,4.17,30,4.14
2012M08,29.859,3.17,29.991,3.15,29.854,3.19,29.994,3.19,29.851,3.25,29.99,3.22,29.84,3.32,29.99,3.27,29.823,3.38,29.985,3.33,29.781,3.47,29.97,3.44
2012M09,29.225,-3.86,29.356,-3.86,29.22,-3.83,29.359,-3.81,29.216,-3.74,29.356,-3.75,29.207,-3.63,29.357,-3.66,29.189,-3.56,29.352,-3.58,29.149,-3.43,29.339,-3.42
2012M10,29.14,-2.34,29.271,-2.35,29.135,-2.31,29.272,-2.31,29.131,-2.22,29.27,-2.26,29.122,-2.14,29.269,-2.18,29.114,-2.05,29.264,-2.15,29.076,-1.92,29.255,-1.99
2012M11,28.984,-4.18,29.116,-4.15,28.979,-4.13,29.118,-4.11,28.976,-4.05,29.114,-4.07,28.965,-3.98,29.112,-4.01,28.954,-3.89,29.104,-3.95,28.912,-3.79,29.091,-3.81
2012M12,28.966,-4.1,29.098,-4.05,28.961,-4.07,29.1,-4.03,28.957,-4.01,29.096,-4,28.947,-3.96,29.094,-3.95,28.936,-3.88,29.089,-3.91,28.899,-3.82,29.081,-3.79
2013M01,29.463,-0.22,29.595,-0.2,29.455,-0.2,29.596,-0.18,29.45,-0.14,29.592,-0.15,29.442,-0.08,29.59,-0.1,29.436,-0.01,29.585,-0.07,29.402,0.07,29.585,0.07
2013M02,29.593,0.97,29.724,0.97,29.585,0.98,29.722,0.96,29.579,1.01,29.718,0.97,29.569,1.06,29.717,1.02,29.561,1.12,29.711,1.04,29.536,1.23,29.703,1.14
2013M03,29.751,1.08,29.883,1.07,29.738,1.06,29.88,1.06,29.723,1.05,29.875,1.05,29.704,1.05,29.87,1.06,29.692,1.07,29.855,1.04,29.647,1.11,29.833,1.08
2013M04,29.462,1.33,29.594,1.33,29.451,1.32,29.591,1.31,29.434,1.28,29.584,1.31,29.415,1.27,29.574,1.3,29.399,1.29,29.56,1.27,29.357,1.32,29.538,1.28
2013M05,29.852,0.27,29.984,0.27,29.842,0.27,29.982,0.27,29.826,0.28,29.976,0.31,29.81,0.31,29.969,0.34,29.797,0.39,29.958,0.37,29.757,0.52,29.938,0.48
2013M06,29.913,0.37,30.045,0.37,29.905,0.37,30.044,0.36,29.889,0.36,30.04,0.39,29.875,0.36,30.034,0.39,29.858,0.37,30.02,0.37,29.811,0.39,29.991,0.35
2013M07,29.905,-0.01,30.019,-0.07,29.895,-0.02,30.016,-0.08,29.878,-0.05,30.01,-0.08,29.858,-0.07,30,-0.09,29.845,-0.04,29.986,-0.11,29.8,-0.03,29.962,-0.13
2013M08,29.864,0.02,29.978,-0.04,29.852,-0.01,29.974,-0.07,29.833,-0.06,29.966,-0.08,29.813,-0.09,29.956,-0.11,29.798,-0.08,29.941,-0.15,29.774,-0.02,29.933,-0.12
2013M09,29.508,0.97,29.622,0.91,29.494,0.94,29.615,0.87,29.476,0.89,29.608,0.86,29.456,0.85,29.598,0.82,29.44,0.86,29.585,0.79,29.413,0.91,29.575,0.8
2013M10,29.332,0.66,29.446,0.6,29.316,0.62,29.438,0.57,29.29,0.55,29.422,0.52,29.264,0.49,29.406,0.47,29.246,0.45,29.388,0.42,29.21,0.46,29.375,0.41
2013M11,29.521,1.85,29.635,1.78,29.493,1.77,29.616,1.71,29.451,1.64,29.585,1.62,29.422,1.58,29.566,1.56,29.39,1.51,29.545,1.52,29.348,1.51,29.508,1.43
2013M12,29.71,2.57,29.824,2.5,29.69,2.52,29.813,2.45,29.662,2.43,29.795,2.4,29.628,2.35,29.769,2.32,29.6,2.29,29.745,2.26,29.55,2.25,29.715,2.18
2014M01,30.223,2.58,30.337,2.51,30.2,2.53,30.322,2.45,30.158,2.4,30.293,2.37,30.122,2.31,30.266,2.28,30.085,2.2,30.237,2.2,30.025,2.12,30.195,2.06
2014M02,30.238,2.18,30.352,2.11,30.215,2.13,30.336,2.07,30.178,2.03,30.31,1.99,30.139,1.93,30.282,1.9,30.102,1.83,30.248,1.81,30.036,1.69,30.197,1.66
2014M03,30.404,2.19,30.518,2.12,30.383,2.17,30.505,2.09,30.351,2.11,30.483,2.04,30.317,2.06,30.46,1.98,30.282,1.99,30.43,1.93,30.225,1.95,30.385,1.85
2014M04,30.121,2.24,30.234,2.16,30.102,2.21,30.223,2.14,30.07,2.16,30.202,2.09,30.04,2.12,30.181,2.05,30.009,2.07,30.154,2.01,29.953,2.03,30.111,1.94
2014M05,29.928,0.25,30.042,0.19,29.915,0.24,30.037,0.18,29.892,0.22,30.024,0.16,29.867,0.19,30.009,0.13,29.842,0.15,29.988,0.1,29.799,0.14,29.957,0.06
2014M06,29.805,-0.36,29.919,-0.42,29.795,-0.37,29.916,-0.43,29.779,-0.37,29.911,-0.43,29.757,-0.39,29.899,-0.45,29.737,-0.41,29.881,-0.46,29.697,-0.38,29.854,-0.46
2014M07,29.922,0.06,30.035,0.05,29.915,0.07,30.036,0.07,29.902,0.08,30.034,0.08,29.885,0.09,30.026,0.09,29.864,0.06,30.007,0.07,29.823,0.08,29.985,0.08
2014M08,29.841,-0.08,29.955,-0.08,29.833,-0.06,29.955,-0.06,29.815,-0.06,29.948,-0.06,29.793,-0.07,29.936,-0.07,29.768,-0.1,29.91,-0.1,29.716,-0.19,29.873,-0.2
2014M09,30.366,2.91,30.48,2.9,30.359,2.93,30.481,2.92,30.346,2.95,30.477,2.94,30.319,2.93,30.463,2.92,30.293,2.9,30.435,2.87,30.242,2.82,30.403,2.8
2014M10,30.375,3.56,30.49,3.55,30.365,3.58,30.49,3.57,30.348,3.61,30.48,3.6,30.323,3.62,30.467,3.61,30.29,3.57,30.44,3.58,30.242,3.53,30.399,3.49
2014M11,30.884,4.62,31,4.61,30.873,4.68,30.999,4.67,30.857,4.77,30.989,4.75,30.833,4.8,30.975,4.77,30.801,4.8,30.951,4.76,30.765,4.83,30.923,4.8
2014M12,31.577,6.28,31.692,6.26,31.57,6.33,31.695,6.31,31.562,6.41,31.693,6.37,31.545,6.47,31.686,6.44,31.525,6.5,31.667,6.46,31.485,6.55,31.646,6.5
2015M01,31.448,4.05,31.562,4.04,31.443,4.12,31.565,4.1,31.435,4.23,31.566,4.2,31.42,4.31,31.561,4.28,31.407,4.39,31.55,4.34,31.375,4.5,31.534,4.43
2015M02,31.347,3.67,31.461,3.65,31.342,3.73,31.464,3.72,31.333,3.83,31.465,3.81,31.32,3.92,31.463,3.9,31.309,4.01,31.455,3.99,31.284,4.16,31.443,4.13
2015M03,31.238,2.74,31.351,2.73,31.233,2.8,31.354,2.78,31.23,2.9,31.351,2.85,31.225,3,31.347,2.91,31.211,3.07,31.345,3.01,31.191,3.2,31.342,3.15
2015M04,30.548,1.42,30.661,1.41,30.543,1.47,30.664,1.46,30.54,1.56,30.662,1.52,30.535,1.65,30.658,1.58,30.525,1.72,30.655,1.66,30.512,1.87,30.656,1.81
2015M05,30.632,2.35,30.746,2.34,30.627,2.38,30.748,2.37,30.622,2.44,30.744,2.4,30.614,2.5,30.736,2.42,30.602,2.55,30.727,2.46,30.577,2.61,30.72,2.55
2015M06,30.797,3.33,30.911,3.32,30.79,3.34,30.912,3.33,30.782,3.37,30.906,3.33,30.775,3.42,30.897,3.34,30.761,3.44,30.888,3.37,30.735,3.5,30.882,3.44
2015M07,31.527,5.36,31.647,5.37,31.519,5.36,31.647,5.36,31.508,5.37,31.636,5.33,31.49,5.37,31.618,5.3,31.465,5.36,31.599,5.31,31.396,5.27,31.55,5.22
2015M08,32.45,8.74,32.554,8.68,32.441,8.74,32.553,8.67,32.429,8.77,32.541,8.66,32.411,8.79,32.524,8.65,32.383,8.78,32.502,8.67,32.317,8.75,32.455,8.64
2015M09,32.812,8.06,32.916,7.99,32.807,8.06,32.919,8,32.802,8.09,32.915,8,32.788,8.14,32.901,8,32.762,8.15,32.882,8.04,32.702,8.13,32.842,8.02
2015M10,32.403,6.68,32.507,6.62,32.399,6.7,32.51,6.63,32.396,6.75,32.507,6.65,32.386,6.8,32.497,6.66,32.368,6.86,32.484,6.71,32.312,6.84,32.45,6.75
2015M11,32.552,5.4,32.656,5.34,32.545,5.42,32.657,5.35,32.534,5.43,32.645,5.34,32.518,5.46,32.63,5.34,32.495,5.5,32.612,5.37,32.445,5.46,32.582,5.36
2015M12,32.781,3.81,32.885,3.76,32.774,3.81,32.886,3.76,32.759,3.79,32.871,3.72,32.735,3.77,32.848,3.67,32.708,3.75,32.834,3.69,32.666,3.75,32.805,3.66
2016M01,33.372,6.12,33.476,6.06,33.365,6.11,33.479,6.06,33.353,6.1,33.47,6.03,33.338,6.1,33.451,5.99,33.317,6.08,33.435,5.97,33.264,6.02,33.404,5.93
2016M02,33.191,5.88,33.295,5.83,33.184,5.88,33.296,5.82,33.175,5.88,33.286,5.79,33.161,5.88,33.272,5.75,33.138,5.84,33.255,5.72,33.086,5.76,33.225,5.67
,,,,,,,,,,,,,,,,,,,,,,,,
*年增率係以所取得資料之原始精確位數進行計算，與資料發布機關公布之結果-,,,,,,,,,,,,,,,,,,,,,,,,
容或有尾差。 ,,,,,,,,,,,,,,,,,,,,,,,,
資料來源：第一商業銀行。 ,,,,,,,,,,,,,,,,,,,,,,,,
